DEFINE,STR,BEFORE,AFTER,CHNGVL,CALC
defineP,P,P0,0,,
defineP,P,P1,1,,
defineP,P,P2,2,,
defineP,P,P3,3,,
defineP,P,P4,4,,
defineP,P,P5,5,,
defineP,P,P6,6,,
defineP,P,P7,7,,
defineP,P,P8,8,,
defineP,P,P9,9,,
defineH,H,H0,0,,
defineH,H,H1,1,,
defineH,H,H2,2,,
defineH,H,H3,3,,
defineH,H,H4,4,,
defineH,H,H5,5,,
defineH,H,H6,6,,
defineH,H,H7,7,,
defineH,H,H8,8,,
defineH,H,H9,9,,
defineN,N,N0,0,,
defineN,N,N1,1,,
defineN,N,N2,2,,
defineN,N,N3,3,,
defineN,N,N4,4,,
defineN,N,N5,5,,
defineN,N,N6,6,,
defineN,N,N7,7,,
defineN,N,N8,8,,
defineN,N,N9,9,,
defineNK,NK,NK0,0,,
defineNK,NK,NK1,1,,
defineNK,NK,NK2,2,,
defineNK,NK,NK3,3,,
defineNK,NK,NK4,4,,
defineNK,NK,NK5,5,,
defineNK,NK,NK6,6,,
defineNK,NK,NK7,7,,
defineNK,NK,NK8,8,,
defineNK,NK,NK9,9,,
defineC,C,C0,0,,
defineC,C,C1,1,,
defineC,C,C2,2,,
defineC,C,C3,3,,
defineC,C,C4,4,,
defineC,C,C5,5,,
defineC,C,C6,6,,
defineC,C,C7,7,,
defineC,C,C8,8,,
defineC,C,C9,9,,
defineV,V,V0,0,,
defineV,V,V1,1,,
defineV,V,V2,2,,
defineV,V,V3,3,,
defineV,V,V4,4,,
defineV,V,V5,5,,
defineV,V,V6,6,,
defineV,V,V7,7,,
defineV,V,V8,8,,
defineV,V,V9,9,,
defineF,F,F0,0,,
defineF,F,F1,1,,
defineF,F,F2,2,,
defineF,F,F3,3,,
defineF,F,F4,4,,
defineF,F,F5,5,,
defineF,F,F6,6,,
defineF,F,F7,7,,
defineF,F,F8,8,,
defineF,F,F9,9,,
defineT,T,T0,0,,
defineT,T,T1,1,,
defineT,T,T2,2,,
defineT,T,T3,3,,
defineT,T,T4,4,,
defineT,T,T5,5,,
defineT,T,T6,6,,
defineT,T,T7,7,,
defineT,T,T8,8,,
defineT,T,T9,9,,
defineY,Y,Y0,0,,
defineY,Y,Y1,1,,
defineY,Y,Y2,2,,
defineY,Y,Y3,3,,
defineY,Y,Y4,4,,
defineY,Y,Y5,5,,
defineY,Y,Y6,6,,
defineY,Y,Y7,7,,
defineY,Y,Y8,8,,
defineY,Y,Y9,9,,
defineW,W,W0,0,,
defineW,W,W1,1,,
defineW,W,W2,2,,
defineW,W,W3,3,,
defineW,W,W4,4,,
defineW,W,W5,5,,
defineW,W,W6,6,,
defineW,W,W7,7,,
defineW,W,W8,8,,
defineW,W,W9,9,,
defineZ,Z,Z0,0,,
defineZ,Z,Z1,1,,
defineZ,Z,Z2,2,,
defineZ,Z,Z3,3,,
defineZ,Z,Z4,4,,
defineZ,Z,Z5,5,,
defineZ,Z,Z6,6,,
defineZ,Z,Z7,7,,
defineZ,Z,Z8,8,,
defineZ,Z,Z9,9,,
defineBTC,BTC,BTC0,0,,
defineBTC,BTC,BTC1,1,,
defineBTC,BTC,BTC2,2,,
defineBTC,BTC,BTC3,3,,
defineBTC,BTC,BTC4,4,,
defineBTC,BTC,BTC5,5,,
defineBTC,BTC,BTC6,6,,
defineBTC,BTC,BTC7,7,,
defineBTC,BTC,BTC8,8,,
defineBTC,BTC,BTC9,9,,
defineTL,TL,TL0,0,,
defineTL,TL,TL1,1,,
defineTL,TL,TL2,2,,
defineTL,TL,TL3,3,,
defineTL,TL,TL4,4,,
defineTL,TL,TL5,5,,
defineTL,TL,TL6,6,,
defineTL,TL,TL7,7,,
defineTL,TL,TL8,8,,
defineTL,TL,TL9,9,,
defineBC,BC,BC0,0,,
defineBC,BC,BC1,1,,
defineBC,BC,BC2,2,,
defineBC,BC,BC3,3,,
defineBC,BC,BC4,4,,
defineBC,BC,BC5,5,,
defineBC,BC,BC6,6,,
defineBC,BC,BC7,7,,
defineBC,BC,BC8,8,,
defineBC,BC,BC9,9,,
defineFC,FC,FC0,0,,
defineFC,FC,FC1,1,,
defineFC,FC,FC2,2,,
defineFC,FC,FC3,3,,
defineFC,FC,FC4,4,,
defineFC,FC,FC5,5,,
defineFC,FC,FC6,6,,
defineFC,FC,FC7,7,,
defineFC,FC,FC8,8,,
defineFC,FC,FC9,9,,
definePN,size3,0N,0N,definePN-1,
definePN,size3,1N,1N,definePN-1,
definePN,size3,2N,2N,definePN-1,
definePN,size3,3N,3N,definePN-1,
definePN,size3,4N,4N,definePN-1,
definePN,size3,5N,5N,definePN-1,
definePN,size3,6N,6N,definePN-1,
definePN,size3,7N,7N,definePN-1,
definePN,size3,8N,8N,definePN-1,
definePN,size3,9N,9N,definePN-1,
definePK,size3,0K,0K,definePK-1,
definePK,size3,1K,1K,definePK-1,
definePK,size3,2K,2K,definePK-1,
definePK,size3,3K,3K,definePK-1,
definePK,size3,4K,4K,definePK-1,
definePK,size3,5K,5K,definePK-1,
definePK,size3,6K,6K,definePK-1,
definePK,size3,7K,7K,definePK-1,
definePK,size3,8K,8K,definePK-1,
definePK,size3,9K,9K,definePK-1,
defineTC,TC,TC,1,,
defineDC,DC,DC,1,,
defineHRC,HRC,HRC,1,,
defineKLC,KLC,KLC,1,,
defineKFC,KFC,KFC,1,,
